,Data de Publicação,Título,Resumo,Palavras-chave,Qtd. de Autores,Autor 1,Autor 2,Autor 3,Autor 4,Autor 5,Autor 6,Afiliação 1,Afiliação 2,Afiliação 3,Afiliação 4,Afiliação 5,Afiliação 6,Url Artigo,Revista,Afilição 1,Afilição 2,Afilição 3,Afilição 4,Afilição 5,Afilição 6,url
0,2013-07-30,PESQUISA EM CONTABILIDADE SOCIAL COMO SE O MUNDO IMPORTASSE UM ENSAIO SOBRE POSTALGIA E UM NOVO ABSURDISMO,"O objetivo deste ensaio é oferecer uma autocrítica reflexiva sobre a ‘comunidade da contabilidade social’. O público-alvo é a comunidade acadêmica dos contadores com atividades na área de contabilidade social. O principal enfoque desta ‘comunidade’ é nas revistas contábeis de língua inglesa e nas práticas sociais e ambientais das maiores organizações do setor privado. Este ensaio foi motivado por uma preocupação com as nossas responsabilidades como acadêmicos em um mundo em crise e a perda de energia da contabilidade social e seu entusiasmo revolucionário. Os esforços dessa comunidade na área da contabilidade social têm sido realizados em um contexto de quase total negligência às atividades e aos desenvolvimentos nas comunidades não-contábeis, e particularmente nos setores público e de serviços. O ensaio vai ao encontro do trabalho e da literatura no setor público e organizações não-governamentais para ilustrar uma das maneiras em que ‘nossa’ contabilidade social pode tentar para evitar se tornar moribunda.",,3,Rob Gray,Jesse Dillard,Crawford Spence,,,,,,,,,,https://www.revistas.usp.br/rco/article/view/59345,Revista de Contabilidade e Organizações – RCO,,,,,,,
1,2013-07-10,AVALIAÇÃO DA INFLUÊNCIA DOS STAKEHOLDERS NA PROATIVIDADE AMBIENTAL DE EMPRESAS BRASILEIRAS,"O artigo analisa a influência dos stakeholders na proatividade ambiental de empresas brasileiras. A pesquisa foi realizada com 112 empresas brasileiras com o objetivo de testar a hipótese de que a pressão por parte dos stakeholders influencia positivamente as atividades de gestão ambiental das empresas brasileiras. A análise fatorial agrupou os stakeholders nas categorias “mercado” e “não mercado”. Os primeiros participam diretamente da cadeia de suprimento e incluem fornecedores, clientes e concorrentes internacionais e domésticos, empregados, subcontratados e sindicatos. Os stakeholders “não mercado”, por sua vez, não participam diretamente da cadeia de suprimentos e são caracterizados pelos acionistas, governo, mídia e ONGs. Os resultados dos modelos econométricos demonstraram que os stakeholders possuem um efeito significativo e positivo sobre as ações de proatividade ambiental, envolvendo práticas de planejamento, operações e comunicação. Essa pressão é mais efetiva quando proveniente de partes interessadas com influência indireta nas organizações, os denominados stakeholders “não mercado”, demonstrando que as ideias e práticas de sustentabilidade estão cada vez mais presentes nas agendas dos atores sociais, que começam a reconhecer suas interconexões e seu poder de influenciar as empresas na adoção de práticas ambientais proativas.",environmental management. environmental pressure. environmental proactivity. strategy. stakeholders. sustainability.,3,Mônica Cavalcanti Sá Abreu,Francisco Cesar Castro,José Carlos Lazaro,,,,Universidade Federal do Ceará,Faculdade Metropolitana de Fortaleza,Universidade Federal do Ceará,,,,https://www.revistas.usp.br/rco/article/view/56693,Revista de Contabilidade e Organizações – RCO,,,,,,,
2,2013-07-10,EVIDENCIAÇÃO DE INFORMAÇÕES AMBIENTAIS: PROPOSTA DE UM INDICADOR A PARTIR DA PERCEPÇÃO DE ESPECIALISTAS,"O artigo tem por objetivo elencar atributos ambientais, conforme o grau de importância de disclosure, para composição de um indicador genuinamente brasileiro que avalie qualidade de evidenciação de informações ambientais. Selecionaram-se especialistas da área “contabilidade ambiental/sustentabilidade” e atributos de evidenciação ambiental subsidiados por estudos nacionais e internacionais. Por meio de rodadas Delphi, os especialistas delinearam o rol de atributos mais relevantes para a composição do indicador. O Indicador de Disclosure Ambiental – IDA é composto por dez atributos que combinam praticidade e representatividade da qualidade de evidenciação de informações ambientais. Os resultados revelaram alto grau de importância e, portanto, maior peso para atributos qualitativos, como “Impactos Ambientais de Produtos e Processos” e “Informações sobre Resíduos”. A contribuição do estudo consiste em revelar “o que” se deve evidenciar prioritariamente, ou seja, quais são os atributos ambientais essenciais. Contribui para que verifique se a quantidade de informações ambientais evidenciadas pelas companhias tem significado necessariamente qualidade de disclosure. Por fornecer um instrumento para quantificação da qualidade do disclosure ambiental, o estudo possibilita pesquisas posteriores sobre a associação entre esta evidenciação e demais aspectos das companhias, como desempenho e governança corporativa",Attributes. Environmental Disclosure. Disclosure Indicator. Sustainability.,3,Ramon K. B. Bachmann,Leandro M. Carneiro,Márcia M. S. B. Espejo,,,,Universidade Federal do Paraná,Universidade Federal do Paraná,Universidade Federal do Paraná,,,,https://www.revistas.usp.br/rco/article/view/56666,Revista de Contabilidade e Organizações – RCO,,,,,,,
3,2015-12-31,ESTRATÉGIAS COMPETITIVAS E DESEMPENHO ECONÔMICO-FINANCEIRO DE EMPRESAS BRASILEIRAS,"Este estudo teve como objetivo analisar a influência das estratégias competitivas de acordo com as tipologias de Miles e Snow no desempenho econômico-financeiro de empresas brasileiras. Trata-se de uma pesquisa exploratória, documental e quantitativa. A amostra é composta por 39 empresas do setor de consumo não-cíclico, listadas na BM&FBOVESPA, no período de 2013, que possuíam todos os dados necessários para a realização deste estudo. Para a análise dos dados, foi aplicada a análise multivariada (ANOVA). Os resultados demonstraram que há relação entre as estratégias empresarias e as medidas de desempenho econômico-financeiro das empresas analisadas, apresentando significância nos indicadores de liquidez corrente e liquidez seca. As empresas categorizadas na estratégia analítica foram as que apresentaram maior média nos indicadores de liquidez corrente e liquidez seca. Assim, pode-se inferir que empresas que mantem um equilíbrio entre estratégia prospectora (dinâmica) e defensiva (estável) tem a tendência de apresentar maiores índices de liquidez.",Estratégias Competitivas. Tipologias de Miles e Snow. Desempenho econômico-financeiro.,4,Caroline Sulzbach Pletsch,Cristian Bau Dal Magro,Alini da Silva,Carlos Eduardo Facin Lavarda,,,Universidade Regional de Blumenau-Furb,Universidade Regional de Blumenau,Universidade Regional de Blumenau,Universidade Regional de Blumenau,,,https://www.revistas.usp.br/rco/article/view/82709,Revista de Contabilidade e Organizações – RCO,,,,,,,
4,2013-07-10,PERCEPÇÕES DE GESTORES SOBRE AS CONTRIBUIÇÕES DO PROCESSO DE CERTIFICAÇÃO ISO 14001 NAS PRÁTICAS DE GESTÃO AMBIENTAL,"A necessidade de harmonizar o desenvolvimento econômico com a proteção ambiental fez surgir o que se convencionou chamar de desenvolvimento e sustentabilidade. Este estudo objetiva conhecer a percepção de gestores sobre o processo de certificação ISO 14001 nas práticas de gestão do meio ambiente em uma indústria Sucroalcooleira do estado de Minas Gerais. Tratou-se de uma pesquisa descritiva de abordagem qualitativa. Os dados foram coletados por meio de entrevista e da análise documental. Constatou-se haver integração entre o processo de certificação, o sistema de gestão ambiental (SGA) e as outras áreas, fatos que proporcionam uma eficácia das práticas de gestão do meio ambiente. O processo de certificação ambiental beneficia-se da implementação do SGA, tendo em vista a melhoria do desempenho ambiental e, assim, de outros aspectos como a imagem da empresa e agregação de valor ao produto. Conclui-se que a atuação integrada da equipe gestora, de certificação ambiental e demais áreas conduzem a um melhor desempenho ambiental contribuindo assim para o alinhamento entre a gestão, as metas e as estratégias organizacionais.",Environmental accounting practices. ISO 14001 certification. Agroindustry. Sustainability. Social accountability,4,Anisio C. Pereira,Silvia B. de Melo,Vilma G. Slomski,Elionor F. J. Weffort,,,Fundação Escola de Comércio Álvares Penteado,Faculdades Integradas de Fernandópolis,Fundação Escola de Comércio Álvares Penteado,Centro Universitário Álvares Penteado,,,https://www.revistas.usp.br/rco/article/view/56665,Revista de Contabilidade e Organizações – RCO,,,,,,,
5,2013-07-10,EVIDENCIAÇÃO AMBIENTAL: REGULAMENTAR É A SOLUÇÃO PARA FALTA DE COMPARABILIDADE E OBJETIVIDADE?,"O objetivo principal desta pesquisa foi investigar o impacto da regulação sobre a evidenciação ambiental (EA). A falta de objetividade e de comparabilidade têm tem sido apontadas apontado em pesquisas anteriores como as principais limitações da EA das empresas. E e entender como a regulação pode impactar tais limitações é primordial para o avanço das discussões sobre a necessidade de regulamentar ou não tais práticas. Foram analisadas informações ambientais dispostas nos relatórios anuais do ano de 2007 de 120 empresas de tamanho equivalente, do setor de petróleo e gás natural de quatro países com similaridades culturais: os Estados Unidos, o Canadá, a Inglaterra e a Austrália. Para a classificação dos dados utilizou-se uma escala adaptada de dois trabalhos consagrados no meio de evidenciação ambiental, o estudo de Clarkson et al et al. (2008) e o de Wiseman (1982). Para analisar as diferenças regulatórias foram utilizadas pesquisas já existentes que fizeram tal levantamento anteriormente. Os resultados mostraram que em países com mecanismos regulatórios mais extensos, específicos e com maior poder coercitivo, as práticas de disclosure ambiental são mais objetivas e comparáveis, ou seja, a regulamentação pode ser uma das soluções para melhorar a evidenciação ambiental das companhias.",Environmental Disclosure. Regulation. Objectivity. Comparability.,3,Alex M. Ribeiro,Carlos H. S. Carmo,Luiz Nelson G. de Carvalho,,,,Universidade Federal de Goiás,Universidade Federal de Goiás,Universidade de São Paulo,,,,https://www.revistas.usp.br/rco/article/view/56667,Revista de Contabilidade e Organizações – RCO,,,,,,,
6,2013-12-07,ÍNDICE CARBONO EFICIENTE (ICO2) E RETORNO DAS AÇÕES: UM ESTUDO DE EVENTOS EM EMPRESAS NÃO FINANCEIRAS DE CAPITAL ABERTO,"As empresas preocupam-se em divulgar informações ambientais com a finalidade de transmitirem aos stakeholders uma “imagem” ambientalmente correta. A BMF&Bovespa em dezembro de 2010, lançou a primeira carteira das empresas que compõem o ICO2. O objetivo desta pesquisa é investigar se há relação entre retorno das ações e o ingresso das empresas na composição do ICO2. Os dados foram coletados na base Economática®. A amostra resultou em 28 empresas que formavam a primeira carteira do ICO2, e a abordagem metodológica utilizada foi estudo de evento, fundamentada na Teoria de Mercado Eficiente. Os achados sugerem que o anúncio não impactou no retorno das ações e, desse modo, a hipótese nula não pode ser rejeitada. Cabe ressaltar que entre as empresas investigadas, o retorno das ações da Vale manteve-se estável antes e após o evento. Por outro lado, o retorno das ações da Cyrela e MRV apresentou maior variabilidade durante a janela do evento.",responsabilidade ambiental e disclosure ambiental. hipótese de mercado eficiente. estudo de evento.,4,Josilene da Silva Barbosa,Stella Maris Lima Altoé,Wesley Vieira da Silva,Lauro Brito de Almeida,,,Universidade Federal do Paraná,Universidade Federal do Paraná,Pontifícia Universidade Católica do Paraná,Universidade Federal do Paraná,,,https://www.revistas.usp.br/rco/article/view/55448,Revista de Contabilidade e Organizações – RCO,,,,,,,
7,2013-07-10,OS EFEITOS DO DISCLOSURE AMBIENTAL NEGATIVO INVOLUNTÁRIO: UM ESTUDO DE EVENTO NAS COMPANHIAS BRASILEIRAS COM ALTO ÍNDICE DE POLUIÇÃO,"O objetivo deste trabalho foi identificar a influência do disclosure ambiental negativo involuntário no retorno anormal dos setores com alto índice de poluição: Exploração, Refino, Minerais Metálicos, Papel e Celulose, e Siderurgia. Para atender ao objetivo proposto, utilizou-se a metodologia de estudo de evento, fundamentada na Hipótese do Mercado Eficiente. A amostra selecionada perfaz 29 eventos, contemplando o período de 2007 a 2012. Utilizou-se a estatística t de variâncias diferentes, bem como o teste de Wilcoxon para variáveis pareadas no intuito de detectar se a volatilidade do preço das ações antes do evento é estatisticamente diferente do preço das ações após a ocorrência do evento. Os resultados demonstraram que a divulgação dos impactos ambientais influenciou negativamente o preço e o retorno das ações, evidenciando a forma semiforte do mercado acionário brasileiro, ou seja, as informações publicamente disponíveis influencia de forma rápida e precisa no preço das ações. Observou-se também a reação negativa dos investidores até o terceiro dia após o evento para os setores de siderurgia e papel e celulose, e até o quarto dia após o evento para os setores de minerais metálicos, e exploração e refino. A partir desse período, o preço das ações e os retornos voltam à sua normalidade.",environmental disclosure. event study. efficient market hypothesis. Brazilian companies.,1,Sheila Mendes Fernandes,,,,,,Fucape Business School – Vitória-ES,,,,,,https://www.revistas.usp.br/rco/article/view/56668,Revista de Contabilidade e Organizações – RCO,,,,,,,
8,2020-05-08,Contabilidade e auditoria interna no setor público brasileiro: percepção dos contadores públicos frente à convergência para as IPSAS/IFAC,"O objetivo do artigo foi investigar e analisar a percepção de uma amostra de contadores públicos brasileiros sobre a adoção das Normas Brasileiras de Contabilidade Aplicada ao Setor Público no Brasil, atualmente em processo de convergência com as normas da Internacional Federation of Accountants (International Public Sector Accounting Standards). A literatura consultada tem se concentrado em pesquisas quantitativas realizadas a partir das informações contábeis publicadas em prestações de contas junto aos Tribunais de Contas e repositórios do Governo Federal, não adentrando em analisar percepções dos profissionais de contabilidade envolvidos no processo. A teoria da contingência foi abarcada como lastro conceitual. O estudo é exploratório e de caráter descritivo, tendo sido coletados dados por meio de questionário eletrônico, utilizando o método de análise fatorial exploratória.  A amostra contou com 168 respondentes. Os resultados indicam que há necessidade de mudanças organizacionais, estruturais, sensibilização da alta administração, de competência técnica-profissional e culturais nos segmentos de contabilidade e auditoria interna dos entes públicos brasileiros visando atender à convergência. Os achados contribuem também para o debate e reflexão sobre o processo de amadurecimento e busca de soluções para adoção de uma contabilidade pública que atenda as demandas de informações dos mais diversos grupos de interessados (internos e externos).",Implantação NBC TSP. Percepção dos contadores públicos. Auditoria interna no setor público. Convergência IPSAS/IFAC no Brasil,3,Luciane Ribas Marques,João Eudes Bezerra Filho,Olavo Venturim Caldas,,,,Fucape Business School,Fucape Business School,Fucape Business School,,,,https://www.revistas.usp.br/rco/article/view/161973,Revista de Contabilidade e Organizações – RCO,,,,,,,
9,2014-08-18,ADERÊNCIA AO DISCLOSURE RELATIVO À AJUSTE A VALOR PRESENTE NAS EMPRESAS LISTADAS NA BM&FBOVESPA,"A presente pesquisa teve dois objetivos principais: levantar os graus de cumprimento às orientações de divulgação definidas no CPC 12 pelas companhias listadas na Bolsa de Valores, Mercadorias e Futuros (BM&FBovespa); e identificar os incentivos capazes de explicar a aderência das firmas ao disclosure além da exigência normativa. Para tanto, a partir do normativo, construiu-se métrica de pesquisa contendo 17 itens passíveis de divulgação pelas firmas, e, em seguida, verificou-se a sua aderência por 315 companhias listadas na  BM&FBovespa. Constatou-se que as empresas apresentaram baixo grau de cumprimento às orientações de divulgação. A partir de testes de diferenças entre médias, verificou-se que as variáveis Setor Construção, Internacionalização, Firma de Auditoria e Governança Corporativa estão associadas às empresas de maiores níveis de disclosure. Além disso, com base na Análise de Regressão, não se pode rejeitar a hipótese de que o disclosure relativo ao Ajuste a Valor Presente pode ser explicado por fatores econômicos, patrimoniais e institucionais das firmas.",Disclosure. Ajuste a Valor Presente. Fatores Explicativos.,3,Falber Cristiano Oliveira de Sousa,Patrícia Vasconcelos Rocha Mapurunga,Vera Maria Rodrigues Ponte,,,,Universidade Federal do Ceará,Universidade Federal do Ceará,Universidade Federal do Ceará,,,,https://www.revistas.usp.br/rco/article/view/55456,Revista de Contabilidade e Organizações – RCO,,,,,,,
10,2012-04-01,Evidenciação de ativos intangíveis: Estudo empírico em companhias abertas,"O objetivo do presente estudo consiste em apresentar um índice de evidenciação de informações compulsórias sobre ativos intangíveis de empresas listadas no Ibovespa, referente ao exercício de 2010, observando os critérios de reconhecimento, mensuração e registro destes ativos conforme especificações do CPC 04 (R1), além de verificar se existe relação entre o índice e o tamanho das empresas, o setor em que estas estão inseridas e a quantidade de anos de constituição das companhias. No que concerne ao índice de evidenciação, optou-se por construir um índice próprio, a partir dos dados estruturados na pesquisa de Moura et al. (2011), baseados nas especificações do CPC 04 (R1). Os resultados mostraram que a empresa COPEL apresentou o maior índice de evidenciação de ativos intangíveis (88%), porém, nenhuma das companhias analisadas cumpriu integralmente o que é determinado pelo CPC 04 (R1) em termos de evidenciação compulsória. Além disso, constatou-se que existe relação entre os índices de evidenciação e a variável independente tamanho, relação esta não verificada quando se analisa os anos de constituição das empresas. Em relação ao setor de atuação, não se verificou, na amostra analisada, que empresas inseridas em setores sensíveis tendem a apresentar maiores índices de evidenciação.",Evidenciação. Ativos Intangíveis. CPC 04.,3,Bruna Camargos Avelino,Laura Edith Taboada Pinheiro,Wagner Moura Lamounier,,,,Universidade Federal de Minas Gerais,Universidade Federal de Minas Gerais,Universidade Federal de Minas Gerais,,,,https://www.revistas.usp.br/rco/article/view/45399,Revista de Contabilidade e Organizações – RCO,,,,,,,
11,2014-04-17,DISTRIBUIÇÃO DE VALOR ADICIONADO E INTANGIBILIDADE: UMA ANÁLISE EM EMPRESAS BRASILEIRAS,"O estudo objetivou analisar a relação entre distribuição de valor adicionado e nível de intangibilidade em empresas brasileiras listadas na BM&FBOVESPA. Para tal, realizou-se pesquisa descritiva, documental e quantitativa em uma amostra composta por 50 companhias dos diversos setores econômicos, com dados referentes ao exercício de 2011. Os resultados revelaram grandes desigualdades nos valores investidos em ativos intangíveis entre os setores. O setor econômico de petróleo, gás e biocombustíveis apresentou a maior média e a empresa que individualmente possuía o maior valor investido em intangíveis, destacando-se também em relação ao valor adicionado distribuído. As empresas listadas em níveis de governança corporativa considerados inferiores apresentaram maiores valores de ativos intangíveis e distribuíram quantidades maiores de valor adicionado. Os resultados obtidos permitiram concluir que, dentre as empresas analisadas, aquelas que possuíam maiores valores investidos em ativos intangíveis distribuíram maiores quantidades de valor adicionado.",Distribuição do valor adicionado. Ativos intangíveis. Empresas brasileiras listadas na BM&FBOVESPA.,3,Sady Mazzioni,Geovanne Dias de Moura,Nelson Hein,,,,Universidade Comunitária da Região de Chapecó,Universidade Regional de Blumenau,Universidade Regional de Blumenau,,,,https://www.revistas.usp.br/rco/article/view/55586,Revista de Contabilidade e Organizações – RCO,,,,,,,
12,2015-12-31,O IMPACTO DO NÍVEL DE DISCLOSURE SOBRE O CUSTO DE CAPITAL PRÓPRIO DAS COMPANHIAS ABERTAS BRASILEIRAS,"O objetivo deste estudo foi analisar o nível de disclosure e sua relação com o custo de capital próprio das empresas de capital aberto, após a conversão das normas contábeis brasileiras para os IFRS. A principal teoria utilizada para sustentar os achados desta pesquisa quanto ao nível de disclosure foi a Teoria da Divulgação, demonstrando também a importância das informações contábeis para os seus diversos usuários. A pesquisa foi orientada através de uma análise descritiva e explicativa, onde foram analisadas 66 empresas entre os anos de 2005 até 2011, sendo calculado o custo de capital e o índice de disclosure para cada organização. Aplicou-se o método de regressão com dados em painel, com a finalidade de escolher um, dentre os três principais modelos, Pooled, Efeitos Fixos e Efeitos Aleatórios, que fosse mais adequado para demonstrar se e de que forma o nível de disclosure afeta no custo de capital das empresas. Os resultados encontrados demonstram que não existe evidências estatísticas de que o nível de disclosure tem relação com o custo do capital, após a conversão para as normas internacionais de contabilidade.",Cost of Equity. Panel Data. Disclosure. IFRS.,2,Davy Antonio da Silva,Laura Edith Taboada Pinheiro,,,,,Universidade Federal de Uberlândia,Universidade Federal de Minas Gerais,,,,,https://www.revistas.usp.br/rco/article/view/97726,Revista de Contabilidade e Organizações – RCO,,,,,,,
13,2013-07-10,EVIDENCIAÇÃO DO RISCO EMPRESARIAL E AMBIENTAL DIANTE DAS MUDANÇAS CLIMÁTICAS E DO AQUECIMENTO GLOBAL,"Este artigo tem como objetivo identificar evidências econômicas e ambientais em relação ao risco estratégico, por causa dos problemas das mudanças climáticas globais. Para isso realizou-se uma pesquisa descritiva-exploratória, conduzida através de um estudo de caso, visando delimitar as variáveis observadas, a área geográfica e o resultado de suas possíveis interações com o contexto de uma grande empresa da indústria de energia hidrelétrica brasileira. Para caracterizar a importância da adaptação de seu planejamento estratégico diante dos possíveis impactos das mudanças climáticas globais, empregou-se o Painel de Especialistas, o Método Delphi e a Matriz SWOT como técnicas de pesquisa. A utilização conjunta dessas três metodologias possibilitou um maior refinamento da pesquisa, com a construção de cenários de longo prazo que puderam ser inferidos em relação às questões pertinentes ao estudo. Os resultados obtidos mostram que a diminuição da vazão de água e a redução do nível dos reservatórios, devido às alterações climáticas, representam os principais riscos ambientais estratégicos da empresa estudada, podendo ameaçar sua competitividade empresarial e comprometer negativamente seu desempenho operacional, econômico e social até o ano de 2050.",Environmental disclosure. Hydroelectric generation. Climate changes. Corporate risks. Environmental vulnerability.,3,Euridice Soares Mamede de Andrade,José Paulo Cosenza,Luiz Pinguelli Rosa,,,,Universidade Federal do Rio de Janeiro,Universidade Federal Fluminense,Universidade Federal do Rio de Janeiro,,,,https://www.revistas.usp.br/rco/article/view/56691,Revista de Contabilidade e Organizações – RCO,,,,,,,
14,2018-12-19,Divulgação de ativos biológicos e concentração acionária nas empresas brasileiras do agronegócio,"O presente artigo analisou a relação entre as práticas de divulgação de ativos biológicos e a concentração acionária nas empresas do agronegócio brasileiro. Foram analisadas as demonstrações contábeis de 27 empresas de capital aberto, para o período de 2011 a 2015. As evidências indicam que o nível de divulgação de ativos biológicos é ainda modesto nestas empresas, e que a concentração acionária típica do setor não afeta o nível de divulgação desses ativos. Os resultados confirmam estudos anteriores em relação aos efeitos do porte e da representatividade dos ativos biológicos na atividade das empresas.",Divulgação. Ativos biológicos. Concentração acionária,4,Júlia Peres Tortoli,Paulo Alexandre da Silva Pires,Ducineli Régis Botelho,Ilírio José Rech,,,Universidade de São Paulo,Universidade Federal de Santa Catarina,Universidade de Brasília,Universidade Federal de Goiás,,,https://www.revistas.usp.br/rco/article/view/144885,Revista de Contabilidade e Organizações – RCO,,,,,,,
15,2012-09-27,Análise da relevância de indicadores financeiros e não financeiros na avaliação de desempenho organizacional: Um estudo exploratório no setor brasileiro de distribuição de energia elétrica,"Este artigo tem como objetivo analisar a relevância de indicadores financeiros e não financeiros na avaliação do desempenho organizacional de empresas do setor brasileiro de distribuição de energia elétrica. Para tanto, um estudo de caráter exploratório, com uso das técnicas Delphi e Análise Hierárquica (AHP) foi conduzido. Os resultados mostram que em relação à perspectiva financeira, percebe-se que o indicador mais importante é a Cobertura de Juros, seguida pelo Retorno sobre o PL e pelo Perfil de Endividamento. Esses três indicadores de maior importância representam cerca de 60% da importância total da perspectiva financeira. Já na perspectiva operacional, observa-se que existe certo equilíbrio entre os indicadores, com uma leve vantagem para os indicadores de Margem Ebitda, FEC e DEC. Por fim, a análise da perspectiva socioambiental mostra que a Taxa de Comprometimento Ambiental e a Rentabilidade Agregada dos Investimentos são, respectivamente, os dois indicadores mais relevantes, respondendo juntos por quase 62% de toda importância da perspectiva socioambiental.",Desempenho Organizacional. Indicadores Financeiros. Indicadores Não Financeiros.,3,Maitê Garcia Cruz Ribeiro,Marcelo Alvaro da Silva Macedo,José Augusto Veiga da Costa Marques,,,,,,,,,,https://www.revistas.usp.br/rco/article/view/52657,Revista de Contabilidade e Organizações – RCO,,,,,,,
16,2013-07-10,A DIVULGAÇÃO VOLUNTÁRIA DE INFORMAÇÕES SUSTENTÁVEIS: UMA ANÁLISE COMPARATIVA DAS EMPRESAS ESPANHOLAS E BRASILEIRAS,"A importância atual da sustentabilidade no campo corporativo tem tornado as práticas de RSC um aspecto fundamental para obter legitimidade social e satisfazer as expectativas sociais. Nesse contexto, a divulgação é considerada como uma ferramenta para informar as partes interessadas sobre as atividades desenvolvidas e alcançar assim a conformidade social. No entanto, os diferentes contextos econômicos e sociais podem levar a diferenças tanto nas práticas e na divulgação, de acordo com a Teoria Institucional. Este estudo centra-se nas diferenças potenciais que podem surgir entre as empresas do Brasil e da Espanha, sobre a divulgação de informação sobre RSC. Além disso, analisa-se a influência de alguns fatores sobre a divulgação, tais como o tamanho das empresas, lucratividade e oportunidades de crescimento. Nossa evidência está em linha com a Teoria Institucional, constatando-se diferenças significativas entre as empresas brasileiras e espanholas, assim como para a divulgação de práticas de RSC. Nossos resultados, ainda, reforçam o papel desempenhado pela visibilidade pública no desenvolvimento de alta qualidade informacional.",CSR. Institutional Theory. Brazil. Spain. GRI.',5,Marta Cristina P. Grecco,Marco Antonio F. M. Filho,Liliane C. Segura,Isabel-Maria G. Sanchez,Luis R. Dominguez,,Universidade Presbiteriana Mackenzie,Universidade Presbiteriana Mackenzie,Universidade Presbiteriana Mackenzie,Facultad de Economía y Empresa,Facultad de Economía y Empresa,,https://www.revistas.usp.br/rco/article/view/56690,Revista de Contabilidade e Organizações – RCO,,,,,,,
17,2013-07-10,ANÁLISE DA DIVULGAÇÃO DE INFORMAÇÕES SOBRE INVESTIMENTOS SOCIAIS POR EMPRESAS QUE SE DECLARAM SOCIALMENTE RESPONSÁVEIS,"O tema desta pesquisa é o disclosure social, ou seja, a divulgação voluntária de informações que envolvem comunidade, meio ambiente, funcionários e clientes. Para este trabalho, optou-se pelo foco nas comunidades, isto é, serão estudados os investimentos realizados pelas empresas em projetos de caráter social. De acordo com a teoria da divulgação voluntária, há ansiedade para publicação de boas notícias, mas resistência à divulgação de más notícias. O objetivo deste trabalho é analisar a divulgação de informações sobre os investimentos sociais realizados por empresas que se declaram sustentáveis. Para tanto, foi realizado um estudo empírico em 31 empresas pertencentes à carteira do Índice de Sustentabilidade Empresarial (ISE) com a utilização da análise de conteúdo da parte de envolvimento com a comunidade dos relatórios divulgados. Os resultados mostraram: nenhuma empresa deixou de informar, totalmente, o objetivo de seus projetos; poucas empresas divulgaram o destino do investimento em todos os projetos; frequentemente não fica claro o sacrifício realizado pela empresa; há pouquíssima informação sobre o uso de incentivos fiscais. Percebeu-se que informações com impacto positivo mais imediato são mais divulgadas.",,2,Carolina Pasquini Novelini,Mariana Simões Ferraz do Amaral Fregonesi,,,,,Universidade de São Paulo,Universidade de São Paulo,,,,,https://www.revistas.usp.br/rco/article/view/56695,Revista de Contabilidade e Organizações – RCO,,,,,,,
18,2015-04-21,PASSIVOS CONTINGENTES NA BOLSA DE VALORES DE NOVA YORK: UMA ANÁLISE COMPARATIVA ENTRE AS EMPRESAS ESTRANGEIRAS,"O estudo levantou os passivos contingentes de 102 empresas que publicam seus demonstrativos financeiros em IFRS na NYSE. Considerou-se que os seguintes fatores poderiam afetar a significância financeira dos passivos contingentes: (i) setor da empresa, (ii) o sistema legal do país da empresa e (iii) os valores sociais do país da empresa, refletidos pela teoria de Gray (1988). A teoria de Gray (1988) pôde ser confirmada na análise isolada dos países latinos desenvolvidos (Brasil), anglo (Inglaterra) e Ásia colonial (China). Os passivos contingentes também se destacam com distribuições diferentes entre os continentes, onde na América Latina a predominância é dos tributários, na Europa os processos cíveis e na Ásia / Pacífico as garantias financeiras. Verificou-se que as empresas brasileiras tendem a evidenciar mais contingências que as demais e que a maioria das contingências lá evidenciadas (67%) são tributárias. As contingências ambientais são mais relevantes nas empresas do setor de petróleo e gás.",Passivos contingentes. Gray (1988). Cultura,2,Eduardo Baldoino,José Alonso Borba,,,,,Universidade Federal de Santa Catarina,Universidade Federal de Santa Catarina,,,,,https://www.revistas.usp.br/rco/article/view/68395,Revista de Contabilidade e Organizações – RCO,,,,,,,
19,2018-12-27,Entendimento da Responsabilidade Social Corporativa da Samarco no rompimento da barragem de Fundão,"O artigo examina a orientação intrínseca que orienta as atividades de Responsabilidade Social Corporativa (RSC) nos relatórios voluntários de sustentabilidade publicados pela Samarco, mineradora brasileira, identificando como a empresa se percebe em relação ao sério desastre ambiental ocorrido em 2015. Nossa análise aplicou o modelo de Basu e Palazzo (2008) baseado em um processo de entendimento organizacional para explicar como a empresa expressa seu pensamento, como ela o discute e como ela atua para lidar com as expectativas e consequências do acidente.  Analisamos os relatórios que retratam o colapso da barragem de rejeitos, observando em que extensão os riscos e prejuízos ao ecossistema seriam antecipados e mencionados aos stakeholders. Nossas evidências mostram que a empresa não antecipou qualquer informação relevante sobre os perigos reais ou impactos críticos de suas atividades operacionais. Após o acidente, a Samarco parece manter sua postura relacional com a sociedade. Entretanto, as ações práticas indicam estar cuidando de seus próprios interesses.",Criação de sentido. Responsabilidade social corporativa. Global para relatórios. Relatório de sustentabilidade. Gestão de desastres,4,José Paulo Cosenza,Cintia de Melo de Albuquerque Ribeiro,Ariel Levy,Selma Alves Dios,,,Universidade Federal Fluminense,Universidade Federal Fluminense,Universidade Federal Fluminense,Universidade Federal Fluminense,,,https://www.revistas.usp.br/rco/article/view/151356,Revista de Contabilidade e Organizações – RCO,,,,,,,
